"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"dejuan blair",2010,2016,"F-C","6-7",270,"April 22, 1989","University of Pittsburgh"
"steve blake",2004,2016,"G","6-3",172,"February 26, 1980","University of Maryland"
"antonio blakeney",2018,2018,"G","6-4",197,"October 4, 1996","Louisiana State University"
"will blalock",2007,2007,"G","6-0",205,"September 8, 1983","Iowa State University"
"george blaney",1962,1962,"G","6-1",175,"November 12, 1939","College of the Holy Cross"
"lance blanks",1991,1993,"G","6-4",190,"September 9, 1966","University of Virginia, University of Texas at Austin"
"ricky blanton",1993,1993,"F","6-7",215,"April 21, 1966","Louisiana State University"
"andray blatche",2006,2014,"F","6-11",235,"August 22, 1986",""
"mookie blaylock",1990,2002,"G","6-0",180,"March 20, 1967","Midland College, University of Oklahoma"
"eric bledsoe",2011,2018,"G","6-1",205,"December 9, 1989","University of Kentucky"
"leon blevins",1951,1951,"G","6-2",160,"June 25, 1926","University of Arizona"
"john block",1967,1976,"F-C","6-9",207,"April 16, 1944","University of Southern California"
"mike bloom",1948,1949,"F-C","6-6",190,"January 14, 1915","Temple University"
"corie blount",1994,2004,"F","6-9",240,"January 4, 1969","University of Cincinnati"
"mark blount",2001,2009,"C","7-0",230,"November 30, 1975","University of Pittsburgh"
"vander blue",2014,2018,"G","6-4",200,"July 17, 1992","Marquette University"
"ray blume",1982,1982,"G","6-4",185,"September 23, 1958","Oregon State University"
"nelson bobb",1950,1953,"G","6-0",170,"February 25, 1924","Temple University"
"tony bobbitt",2005,2005,"G","6-4",190,"October 22, 1979","University of Cincinnati"
"bucky bockhorn",1959,1965,"G","6-4",200,"July 8, 1933","University of Dayton"
"tom boerwinkle",1969,1978,"C","7-0",265,"August 23, 1945","University of Tennessee"
"keith bogans",2004,2014,"G-F","6-5",215,"May 12, 1980","University of Kentucky"
"bogdan bogdanovic",2018,2018,"G","6-6",205,"August 18, 1992",""
"bojan bogdanovic",2015,2018,"G-F","6-8",216,"April 18, 1989",""
"muggsy bogues",1988,2001,"G","5-3",136,"January 9, 1965","Wake Forest University"
"andrew bogut",2006,2018,"C","7-0",260,"November 28, 1984","University of Utah"
"etdrick bohannon",1998,2001,"F","6-9",220,"May 29, 1973","University of Arizona, University of Tennessee, Auburn University at Montgomery"
"manute bol",1986,1995,"C","7-7",200,"October 16, 1962","University of Bridgeport"
"bill bolger",1954,1954,"F","6-5",205,"August 21, 1931","Georgetown University"
"joel bolomboy",2017,2018,"F","6-9",235,"January 28, 1994","Weber State University"
"doug bolstorff",1958,1958,"G","6-4",195,"October 29, 1931","University of Minnesota"
"george bon salle",1962,1962,"F","6-8",220,"July 1, 1935","University of Illinois at Urbana-Champaign"
"phil bond",1978,1978,"G","6-2",175,"July 27, 1954","University of Louisville"
"walter bond",1993,1995,"G","6-5",200,"February 1, 1969","University of Minnesota"
"dexter boney",1997,1997,"G","6-4",185,"April 27, 1970","University of Nevada, Las Vegas"
"ron bonham",1965,1968,"F","6-5",192,"May 31, 1942","University of Cincinnati"
"anthony bonner",1991,1996,"F","6-8",215,"June 8, 1968","Saint Louis University"
"matt bonner",2005,2016,"F","6-10",235,"April 5, 1980","University of Florida"
"butch booker",1970,1970,"C","6-10",230,"July 20, 1945","Cheyney University of Pennsylvania"
"devin booker",2016,2018,"G","6-6",206,"October 30, 1996","University of Kentucky"
"melvin booker",1996,1997,"G","6-1",185,"August 20, 1972","University of Missouri"
"trevor booker",2011,2018,"F","6-8",228,"November 25, 1987","Clemson University"
"josh boone",2007,2010,"F-C","6-10",237,"November 21, 1984","University of Connecticut"
"ron boone",1969,1981,"G-F","6-2",200,"September 6, 1946","Idaho State University"
"calvin booth",2000,2009,"C","6-11",230,"May 7, 1976","Pennsylvania State University"
"keith booth",1998,1999,"F","6-6",226,"October 9, 1974","University of Maryland"
"bob boozer",1961,1971,"F","6-8",215,"April 26, 1937","Kansas State University"
"carlos boozer",2003,2015,"F-C","6-9",258,"November 20, 1981","Duke University"
"curtis borchardt",2004,2005,"C","7-0",240,"September 13, 1980","Stanford University"
"jake bornheimer",1949,1950,"F-C","6-5",200,"June 29, 1927","Muhlenberg College"
"lazaro borrell",2000,2000,"F","6-8",220,"September 20, 1972",""
"ike borsavage",1951,1951,"C-F","6-8",220,"July 25, 1924","Temple University"
"vince boryla",1950,1954,"F","6-5",210,"March 11, 1927","University of Denver"
"chris bosh",2004,2016,"F-C","6-11",235,"March 24, 1984","Georgia Institute of Technology"
"jim bostic",1978,1978,"F","6-7",225,"January 28, 1953","New Mexico State University"
"lawrence boston",1980,1980,"F","6-8",225,"May 18, 1956","University of Maryland"
"tom boswell",1976,1984,"F-C","6-9",220,"October 2, 1953","South Carolina State University, University of South Carolina"
"chris boucher",2018,2018,"F","6-10",182,"January 11, 1993","University of Oregon"
"ruben boumtje boumtje",2002,2004,"C","7-0",257,"May 20, 1978","Georgetown University"
"don boven",1950,1953,"F-G","6-4",210,"March 6, 1925","Western Michigan University"
"cal bowdler",2000,2002,"F","6-10",245,"March 31, 1977","Old Dominion University"
"bruce bowen",1997,2009,"F","6-7",185,"June 14, 1971","California State University, Fullerton"
"ryan bowen",2000,2010,"F","6-7",215,"November 20, 1975","University of Iowa"
"tommie bowens",1968,1970,"F-C","6-8",220,"July 7, 1940","Grambling State University"
"anthony bowie",1989,1998,"G-F","6-6",190,"November 9, 1963","University of Oklahoma"
"sam bowie",1985,1995,"C-F","7-1",235,"March 17, 1961","University of Kentucky"
"orbie bowling",1968,1968,"C","6-10",215,"March 21, 1939","University of Tennessee"
"ira bowman",2000,2002,"G","6-5",195,"June 11, 1973","Providence College, University of Pennsylvania"
"nate bowman",1967,1972,"C","6-10",230,"March 19, 1943","Wichita State University"
"donnie boyce",1996,1997,"G","6-5",196,"September 2, 1973","University of Colorado"
"dennis boyd",1979,1979,"G","6-1",175,"May 21, 1954","University of Detroit Mercy"
"freddie boyd",1973,1978,"G","6-2",180,"June 13, 1950","Oregon State University"
"ken boyd",1975,1975,"F","6-5",195,"March 25, 1952","Boston University"
"earl boykins",1999,2012,"G","5-5",135,"June 2, 1976","Eastern Michigan University"
"harry boykoff",1950,1951,"C","6-10",225,"July 24, 1922","St. John's University"
"winford boynes",1979,1981,"G-F","6-6",185,"May 17, 1957","University of San Francisco"
"cedric bozeman",2007,2007,"G","6-6",207,"March 7, 1983","University of California, Los Angeles"
"steve bracey",1973,1975,"G","6-1",175,"August 1, 1950","University of Tulsa"
"craig brackins",2011,2012,"F","6-10",230,"October 9, 1987","Iowa State University"
"gary bradds",1965,1971,"F","6-8",210,"July 26, 1942","Ohio State University"
"alex bradley",1982,1982,"F","6-6",215,"October 30, 1959","Villanova University"
"alonzo bradley",1978,1980,"F","6-6",190,"October 16, 1953","Texas Southern University"
"avery bradley",2011,2018,"G","6-2",180,"November 26, 1990","University of Texas at Austin"
"bill bradley",1968,1968,"G","5-11",165,"June 16, 1941",""
"bill bradley",1968,1977,"F-G","6-5",205,"July 28, 1943","Princeton University"
"charles bradley",1982,1984,"G","6-5",215,"May 16, 1959","University of Wyoming"
"dudley bradley",1980,1989,"G-F","6-6",195,"March 19, 1957","University of North Carolina"
"jim bradley",1974,1976,"F","6-8",215,"March 16, 1952","Northern Illinois University"
"joe bradley",1950,1950,"G","6-3",175,"September 24, 1928","Oklahoma State University"
"michael bradley",2002,2006,"F-C","6-10",245,"April 18, 1979","University of Kentucky, Villanova University"
"shawn bradley",1994,2005,"C","7-6",235,"March 22, 1972","Brigham Young University"
"tony bradley",2018,2018,"F-C","6-11",240,"January 8, 1998","University of North Carolina"
"mark bradtke",1997,1997,"C-F","6-10",265,"September 27, 1968",""
"marques bragg",1996,1996,"F","6-8",230,"March 24, 1970","Providence College"
"torraye braggs",2004,2005,"F","6-8",245,"May 15, 1976","Xavier University"
"aj bramlett",2000,2000,"C","6-10",227,"January 10, 1977","University of Arizona"
"adrian branch",1987,1990,"F-G","6-7",185,"November 17, 1963","University of Maryland"
"elton brand",2000,2016,"F","6-8",275,"March 11, 1979","Duke University"
"terrell brandon",1992,2002,"G","5-11",180,"May 20, 1970","University of Oregon"
"bob brannum",1950,1955,"F-C","6-5",215,"May 28, 1925","Michigan State University"
"brad branson",1982,1983,"C-F","6-10",220,"September 24, 1958","Southern Methodist University"
"jesse branson",1966,1968,"F","6-7",195,"January 7, 1942","Elon University"
"jim brasco",1953,1953,"G","6-1",170,"February 3, 1931","New York University"
"mike bratz",1978,1986,"G","6-2",185,"October 17, 1955","Stanford University"
"carl braun",1948,1962,"G-F","6-5",180,"September 25, 1927","Colgate University"
"tim breaux",1995,1998,"F","6-7",215,"September 19, 1970","University of Wyoming"
"jr bremer",2003,2004,"G","6-2",185,"September 19, 1980","St. Bonaventure University"
"pete brennan",1959,1959,"F","6-6",205,"September 23, 1936","University of North Carolina"
"tom brennan",1955,1955,"F","6-3",195,"August 6, 1930","Villanova University"
"randy breuer",1984,1994,"C","7-3",230,"October 11, 1960","University of Minnesota"
"corey brewer",2008,2018,"F-G","6-9",186,"March 5, 1986","University of Florida"
"jamison brewer",2002,2005,"G","6-4",184,"November 19, 1980","Auburn University"
"jim brewer",1974,1982,"F-C","6-9",210,"December 3, 1951","University of Minnesota"
"ron brewer",1979,1986,"G","6-4",180,"September 16, 1955","University of Arkansas"
"ronnie brewer",2007,2014,"G-F","6-7",220,"March 20, 1985","University of Arkansas"
"primoz brezec",2002,2010,"C","7-2",252,"October 2, 1979",""
"frankie brian",1950,1956,"G","6-1",180,"May 1, 1923","Louisiana State University"
"frank brickowski",1985,1997,"F-C","6-9",240,"August 14, 1959","Pennsylvania State University"
"junior bridgeman",1976,1987,"F-G","6-5",210,"September 17, 1953","University of Louisville"
"bill bridges",1963,1975,"F-C","6-6",228,"April 4, 1939","University of Kansas"
"al brightman",1947,1947,"F","6-2",195,"September 22, 1923","University of Charleston"
"aud brindley",1947,1947,"F","6-4",175,"December 31, 1923","Dartmouth College"
"john brisker",1970,1975,"F-G","6-5",210,"June 15, 1947","University of Toledo"
"allan bristow",1974,1983,"F-G","6-7",210,"August 23, 1951","Virginia Polytechnic Institute and State University"
"tyrone britt",1968,1968,"G","6-4",190,"April 18, 1944","Johnson C. Smith University"
"wayman britt",1978,1978,"G","6-2",185,"August 31, 1952","University of Michigan"
"mike brittain",1986,1987,"C","7-0",235,"June 21, 1963","University of South Carolina"
"dave britton",1981,1981,"G","6-4",180,"August 29, 1958","Texas A&M University"
"jon brockman",2010,2012,"F","6-7",255,"March 20, 1987","University of Washington"
"jim brogan",1982,1983,"G","6-4",185,"February 24, 1958","West Virginia Wesleyan College"
"malcolm brogdon",2017,2018,"G","6-5",215,"December 11, 1992","University of Virginia"
"gary brokaw",1975,1978,"G","6-4",178,"January 11, 1954","University of Notre Dame"
"price brookfield",1949,1950,"F-G","6-4",185,"May 11, 1920","West Texas A&M University"
"clarence brookins",1971,1971,"F","6-4",190,"","Temple University"
"aaron brooks",2008,2018,"G","6-0",161,"January 14, 1985","University of Oregon"
"dillon brooks",2018,2018,"G-F","6-6",220,"January 22, 1996","University of Oregon"
"kevin brooks",1992,1994,"F","6-6",200,"October 12, 1969","University of Louisiana at Lafayette"
"marshon brooks",2012,2014,"G-F","6-5",200,"January 26, 1989","Providence College"
"michael brooks",1981,1988,"F","6-7",220,"August 17, 1958","La Salle University"
"scott brooks",1989,1998,"G","5-11",165,"July 31, 1965","Texas Christian University, University of California, Irvine"
"andre brown",2007,2009,"F","6-9",245,"May 12, 1981","DePaul University"
"anthony brown",2016,2017,"F-G","6-7",210,"October 10, 1992","Stanford University"
"bob brown",1949,1950,"F","6-4",205,"November 12, 1923","Miami University"
"bobby brown",2009,2018,"G","6-2",175,"September 24, 1984","California State University, Fullerton"
"chucky brown",1990,2002,"F","6-7",214,"February 29, 1968","North Carolina State University"
"damone brown",2002,2005,"F","6-9",200,"June 28, 1979","Syracuse University"
"darrell brown",1949,1949,"F","6-2",175,"March 14, 1923","Humboldt State University"
"dee brown",1991,2002,"G","6-1",160,"November 29, 1968","Jacksonville University"
"dee brown",2007,2009,"G","6-0",185,"August 17, 1984","University of Illinois at Urbana-Champaign"
"derrick brown",2010,2012,"F","6-7",225,"September 8, 1987","Xavier University"
"devin brown",2003,2010,"G","6-5",220,"December 30, 1978","University of Texas at San Antonio"
"ernest brown",2002,2002,"C","7-0",244,"May 17, 1979","Indian Hills Community College"
"fred brown",1972,1984,"G","6-3",182,"August 7, 1948","University of Iowa"
"george brown",1958,1958,"F","6-6",190,"October 30, 1935","Wayne State University"
"gerald brown",1999,1999,"G","6-4",210,"July 28, 1975","Pepperdine University"
"harold brown",1947,1947,"G","6-0",155,"October 2, 1923","University of Evansville"
"jabari brown",2015,2015,"G","6-4",215,"December 18, 1992","University of Oregon, University of Missouri"
"jaylen brown",2017,2018,"F-G","6-7",225,"October 24, 1996","University of California"
"john brown",1974,1980,"F","6-7",220,"December 14, 1951","University of Missouri"
"kedrick brown",2002,2005,"G","6-7",222,"March 18, 1981","Okaloosa-Walton Community College"
"kwame brown",2002,2013,"F","6-11",270,"March 10, 1982",""
"larry brown",1968,1972,"G","5-9",160,"September 14, 1940","University of North Carolina"
"leon brown",1947,1947,"F","6-3",190,"October 12, 1919","University of Wyoming"
"lewis brown",1981,1981,"C","6-11",225,"February 19, 1955","University of Nevada, Las Vegas"
"lorenzo brown",2014,2018,"G","6-5",189,"August 26, 1990","North Carolina State University"
"marcus brown",1997,2000,"G","6-3",185,"April 3, 1974","Murray State University"
"markel brown",2015,2018,"G","6-3",190,"January 29, 1992","Oklahoma State University"
"mike brown",1987,1997,"C-F","6-9",257,"July 19, 1963","George Washington University"
"myron brown",1992,1992,"G","6-3",180,"November 3, 1969","Slippery Rock University of Pennsylvania"
"pj brown",1994,2008,"F-C","6-11",225,"October 14, 1969","Louisiana Tech University"
"randy brown",1992,2003,"G","6-2",190,"May 22, 1968","University of Houston, New Mexico State University"
"raymond brown",1990,1990,"F","6-8",220,"July 5, 1965","Mississippi State University, University of Idaho"
"rickey brown",1981,1985,"C-F","6-10",215,"August 20, 1958","Mississippi State University"
"roger brown",1968,1975,"F-G","6-5",205,"May 22, 1942","University of Dayton"
"roger brown",1973,1980,"C","6-11",225,"February 23, 1950","University of Kansas"
"shannon brown",2007,2015,"G","6-4",205,"November 29, 1985","Michigan State University"
"stan brown",1948,1952,"F","6-3",200,"June 27, 1929",""
"sterling brown",2018,2018,"G","6-5",225,"February 10, 1995","Southern Methodist University"
"tierre brown",2002,2005,"G","6-2",189,"June 3, 1979","McNeese State University"
"tony brown",1985,1992,"F-G","6-6",185,"July 29, 1960","University of Arkansas"
"jim browne",1949,1950,"C","6-10",235,"January 1, 1930",""
"stanley brundy",1990,1990,"F","6-6",210,"November 13, 1967","DePaul University"
"brian brunkhorst",1969,1969,"F","6-6",208,"June 12, 1945","Marquette University"
"george bruns",1973,1973,"G","6-0",160,"August 30, 1946","Manhattan College"
"rick brunson",1998,2006,"G","6-4",190,"June 14, 1972","Temple University"
"nicolas brussino",2017,2018,"G-F","6-7",195,"March 2, 1993",""
"em bryant",1965,1972,"G","6-1",175,"November 4, 1938","DePaul University"
"joe bryant",1976,1983,"F-C","6-9",185,"October 19, 1954","La Salle University"
"kobe bryant",1997,2016,"G-F","6-6",212,"August 23, 1978",""
